UniProtAC;Localization;CNN;;;;;;;;;;;;;;;;;;;;Fully Connected;;;;;;;;;;;;;;;Final;;;;;;;;;
;;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Plasma1;Plasma2;Plasma3;Plasma4;Plasma5;Other1;Other2;Other3;Other4;Other5;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Other1;Other2;Other3;Other4;Other5;Binary1;Binary2;Binary3;Binary4;Binary5;Ternary1;Ternary2;Ternary3;Ternary4;Ternary5
Q9H5J4;Other;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9H5K3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9H5V8;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;validation;-;-;-;-;-;-;-;-;-;-;-;-
Q9H6H4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9H6U8;Other;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9H8H3;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9H8M5;Basolateral;-;-;-;-;-;-;train;validation;train;validation;-;-;-;-;-;-;-;-;-;-;train;train;-;-;train;train;train;-;-;train;-;train;-;train;train;validation;-;train;train;train;train;train;train;train;train
Q9H8X9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
Q9H9S5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;train;-
Q9HA82;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-
Q9HAW7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;validation;-;-;-
Q9HAW9;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HB03;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HBB8;Apical;-;train;train;train;train;train;-;-;-;-;-;train;-;-;-;-;train;-;-;train;-;train;train;train;train;train;train;-;train;-;train;validation;-;validation;-;train;-;validation;validation;-;-;-;train;train;-
Q9HBG4;Apical;-;-;train;validation;train;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;train;-;-;train;-;train;train;-;-;train;-;-;train;train;-;-;-;-;-;train;-;validation
Q9HBI6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
Q9HBJ8;Apical;-;-;-;-;validation;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;train;train;-;validation;-;-;-;train;train;train;train;-;-;train;-;validation;-;-;train;-;-;-;-;validation;-;train
Q9HC07;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
Q9HC24;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HCL2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HCP6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HCQ5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
Q9HCS2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HD20;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-
Q9HD23;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9HD45;Plasma;-;-;-;-;-;train;-;-;-;-;train;train;-;train;train;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JHE4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
Q9JHI8;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9JHI9;Basolateral;train;train;-;train;-;validation;train;train;train;train;train;-;-;-;-;-;-;-;-;-;-;validation;-;-;train;train;-;-;train;train;-;-;-;-;-;-;-;train;-;validation;train;train;train;-;train
Q9JHJ3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
Q9JHY1;Basolateral;train;-;-;-;-;train;-;train;train;train;-;-;-;-;-;-;-;-;train;-;train;-;-;validation;train;train;train;validation;-;train;train;-;-;train;train;-;train;train;train;train;train;train;validation;validation;-
Q9JI39;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JI60;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JI61;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JI93;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JI99;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9JIK1;Apical;-;train;train;train;train;train;-;-;-;-;-;train;-;-;-;-;train;-;-;train;-;train;train;train;train;train;train;-;train;-;train;validation;-;validation;-;train;-;validation;validation;-;-;-;train;train;-
Q9JIM1;Basolateral;train;-;-;-;-;train;-;-;validation;-;-;validation;-;-;train;-;-;-;-;-;validation;-;-;-;validation;train;train;validation;train;train;-;train;-;train;train;train;validation;-;-;train;train;train;train;validation;validation
Q9JIP7;Apical;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;validation;-;train;train;-;-;-;-;-;-;-;-;train;-;-;train;-;train;train;-;-;-
Q9JIW9;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9JJ00;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
Q9JJ46;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JJ61;Other;-;-;-;-;validation;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JJE7;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
Q9JJF9;Other;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-
Q9JJI7;Basolateral;-;train;-;-;validation;train;train;validation;train;train;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;train;validation;train;train;train;-;train;-;-;-;train;-;train;train;-;train;-;train;train;-
Q9JJK5;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation
Q9JJL3;Basolateral;train;-;-;train;-;train;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;train;validation;validation;-;-;validation;train;-;train;-;train;-;train;validation;train;validation;train;train;train;train;train;train;train;train
Q9JJR8;Other;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JJY3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-
Q9JK59;Other;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JK62;Apical;train;train;train;train;train;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;train;validation;train;validation;-;train;-;validation;train;validation;-;train;train;validation;train;train;train
Q9JKJ9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JKK1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-
Q9JKV5;Plasma;-;-;-;-;train;-;-;-;-;train;validation;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
Q9JKV7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JKW1;Other;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JKX8;Apical;-;-;validation;-;-;-;train;-;-;train;-;train;-;train;-;train;-;-;-;-;-;-;train;validation;-;validation;train;-;train;-;validation;validation;-;-;-;-;train;train;train;-;validation;train;train;train;-
Q9JLB0;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;train;-;-;train;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
Q9JLB9;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
Q9JLJ1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9JLJ5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
Q9JLQ0;Plasma;-;-;-;-;train;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;-;-;train;-;-;-;-;train;-;-;train;train;train;-;-;-;-;-;-;-;-;-;-;-;-;validation
Q9JLR9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JMA1;Plasma;train;-;-;-;-;train;-;-;-;-;train;-;train;-;-;validation;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train
Q9JMB3;Plasma;-;-;-;-;-;-;-;-;-;-;train;train;train;validation;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;validation;validation;-;-;-;-;-;-;-;-;-;-;train;train
Q9JME2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9JMK0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9MZ08;Basolateral;-;-;validation;-;train;-;train;-;train;validation;-;-;-;train;-;train;validation;-;-;-;-;-;-;-;-;train;train;train;-;train;train;train;-;-;train;-;train;-;train;validation;-;train;train;train;-
Q9MZF4;Apical;-;train;train;train;validation;-;validation;train;-;-;-;-;train;-;-;-;-;-;-;-;train;validation;train;train;-;-;-;-;-;-;-;-;-;-;-;validation;train;train;train;-;-;-;train;-;train
Q9MZY0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9N119;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
Q9N1Q4;Basolateral;-;-;-;-;-;-;train;train;-;train;-;-;train;-;-;train;train;train;-;train;-;-;train;-;validation;validation;-;-;train;train;-;validation;train;-;train;train;train;validation;validation;train;-;-;validation;train;validation
Q9N280;Basolateral;-;-;train;-;-;train;train;train;train;-;-;-;-;-;-;validation;train;train;-;-;-;-;train;train;-;train;train;train;train;train;-;-;validation;-;-;validation;-;train;validation;train;train;-;train;train;train
Q9NP78;Other;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NP91;Apical;train;train;train;-;validation;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;validation;-;train;train;validation;-;-;-;train;-;train;-;-;-;train;-;train;-;train;-;-;train;train;train;train
Q9NPC4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NPD5;Basolateral;-;-;-;-;train;validation;train;validation;train;validation;-;-;-;train;-;-;validation;-;-;-;-;-;train;train;train;train;train;-;-;validation;train;-;-;-;train;train;train;validation;-;train;validation;train;-;-;train
Q9NPG8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NPI9;Basolateral;train;-;-;-;train;train;train;train;train;-;-;-;-;-;-;-;-;train;-;-;train;-;train;-;train;validation;validation;train;train;train;train;-;validation;-;-;-;-;train;train;train;train;validation;train;train;train
Q9NPR2;Basolateral;train;train;validation;-;-;validation;train;-;train;-;train;train;-;-;-;-;-;-;-;-;train;-;-;validation;train;-;train;train;validation;validation;train;validation;-;-;-;validation;-;train;-;validation;train;train;train;train;train
Q9NQ11;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-
Q9NQ40;Apical;-;-;-;train;-;-;train;-;train;train;-;-;-;train;-;-;train;-;-;-;train;-;-;-;-;-;validation;-;-;train;train;train;train;-;-;train;train;train;train;-;train;train;validation;validation;validation
Q9NQA5;Apical;train;train;train;-;-;-;-;train;-;train;-;train;-;validation;train;train;train;-;-;-;validation;validation;train;train;train;train;train;-;-;train;-;train;-;train;train;train;train;validation;-;-;-;-;train;train;train
Q9NQG6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NQR9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NQS3;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
Q9NQX7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NRD8;Apical;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;validation;-;train;train;-;train;-;-;-;train;-;validation;train;train;train;-;train;-;-;-;train;-;train
Q9NRD9;Apical;-;train;train;train;validation;-;validation;train;-;-;-;-;train;-;-;-;-;-;-;-;train;validation;train;train;-;-;-;-;-;-;-;-;-;-;-;validation;train;train;train;-;-;-;train;-;train
Q9NRK6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NRM0;Basolateral;-;-;-;-;validation;-;-;train;train;train;train;-;-;train;train;-;train;-;-;-;-;validation;-;train;train;train;-;train;validation;-;-;-;-;-;validation;-;train;train;validation;train;train;validation;train;-;-
Q9NRR3;Plasma;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;train
Q9NRS4;Basolateral;-;-;-;-;-;train;train;validation;train;train;-;-;-;train;validation;-;-;train;-;validation;-;-;train;-;-;validation;train;validation;train;train;train;-;train;-;train;train;-;train;-;train;-;validation;train;train;train
Q9NSC7;Other;-;-;train;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NSI5;Apical;train;train;train;validation;-;validation;-;-;-;-;train;-;train;-;-;-;train;-;-;train;train;train;train;train;train;-;train;-;-;train;-;-;train;-;-;-;train;train;-;-;train;train;-;train;-
Q9NUD9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NUE0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;validation;-;-;-
Q9NUN7;Other;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NUT2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NVH0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
Q9NWR8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NWW5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NX14;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;train
Q9NXE4;Other;-;-;-;-;-;-;-;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NXG6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NXI6;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NXW2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NZ43;Plasma;-;-;-;-;-;validation;-;-;train;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NZ45;Other;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-
Q9NZC3;Plasma;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
Q9NZW5;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;train;-;-;train;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
Q9NY28;Other;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NY35;Plasma;-;-;-;-;-;train;-;-;-;-;validation;-;validation;-;-;-;validation;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-
Q9NY59;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-
Q9NYG2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9NYM9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
Q9P035;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P055;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P0N8;Other;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-
Q9P0S2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P0T7;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P0U1;Other;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P246;Other;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9P2B2;Basolateral;train;-;-;-;-;train;train;validation;train;-;-;-;train;-;-;-;validation;-;validation;-;train;train;-;-;-;-;train;train;train;validation;train;-;train;train;-;train;train;train;train;train;validation;train;-;-;-
Q9P2E9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9P2W7;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
Q9P2X0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
Q9QUK3;Other;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9QWV1;Other;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Q9QX69;Plasma;-;-;-;-;-;-;-;validation;-;-;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-
Q9QXA6;Apical;validation;train;train;train;validation;train;-;-;-;-;-;-;-;-;-;train;-;train;-;train;train;train;train;train;-;-;train;-;train;-;-;train;-;-;train;train;validation;train;train;train;-;train;train;train;train
